name;stars;review_count;categories
St Honore Pastries;4.0;80;Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries
Tuna Bar;4.0;245;Sushi Bars, Restaurants, Japanese
BAP;4.5;205;Korean, Restaurants
Bar One;4.0;65;Cocktail Bars, Bars, Italian, Nightlife, Restaurants
DeSandro on Main;3.0;41;Pizza, Restaurants, Salad, Soup
Craft Hall;3.5;65;Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants
Pathmark;2.5;34;Food, Grocery
Wawa;3.0;56;Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores
AM&PM Locksmith;4.5;58;Keys & Locksmiths, Home Services, Local Services
Walmart Vision & Glasses;4.5;6;Eyewear & Opticians, Shopping
Pete's Barber Shop;4.5;12;Barbers, Beauty & Spas
Golden Chopstick Chinese Restaurant;3.0;137;Restaurants, Chinese
David Gower, Jr.  - Coldwell Banker Preferred;5.0;17;Real Estate, Home Services, Real Estate Agents
David Thomas Trailways;4.5;6;Buses, Transportation, Bus Tours, Hotels & Travel, Travel Agents, Travel Services, Airport Shuttles, Tours, Public Transportation
P's & Q's - Premium Quality;5.0;16;Fashion, Shopping, Men's Clothing
J Sushi;4.5;72;Seafood, Restaurants, Sushi Bars, Japanese
Elegance African Hair Braiding;2.0;8;Beauty & Spas, Hair Stylists, Hair Extensions, Hair Salons
Giant Food Stores;4.0;19;Grocery, Food
Wendy's;1.5;15;Burgers, Restaurants, Fast Food
ReAnimator Coffee;4.0;105;Food, Coffee & Tea
Zakian Rug Cleaning;3.5;26;Carpet Cleaning, Rugs, Shopping, Flooring, Local Services, Home Cleaning, Carpeting, Home & Garden, Home Services
Red Hook Coffee & Tea;4.5;183;Restaurants, Breakfast & Brunch, Vegan, Bagels, Food, Coffee & Tea
King of Jewelers;4.0;5;Shopping, Jewelry
Watson Adventures Scavenger Hunts;3.0;8;Local Flavor, Team Building Activities, Active Life, Arts & Entertainment, Event Planning & Services, Walking Tours, Scavenger Hunts, Museums, Hotels & Travel, Tours
Shanghai Station;4.0;46;Shanghainese, Restaurants, Sushi Bars, Szechuan, Sports Bars, Lounges, Asian Fusion, Thai, Karaoke, Chinese, Nightlife, Bars
CVS Pharmacy;3.0;11;Drugstores, Pharmacy, Health & Medical, Convenience Stores, Food, Shopping
City Fitness - Northern Liberties;3.0;131;Active Life, Fitness & Instruction, Trainers, Gyms
Baltic Bakery;4.5;12;Food, Bakeries, Restaurants
Brown Sugar Bakery & Cafe;4.5;66;Cupcakes, Caribbean, Restaurants, Trinidadian, Food, Bakeries, Cafes
Jon's Bar & Grille;3.0;178;Tex-Mex, Restaurants, American (Traditional), Nightlife, Bars
Center City Emergency Dentist;3.5;120;Orthodontists, Health & Medical, Oral Surgeons, General Dentistry, Dentists, Cosmetic Dentists
Wissahickon Cyclery;4.5;18;Bike Rentals, Active Life, Bikes, Shopping, Sporting Goods
Best Tours;1.0;38;Tours, Walking Tours, Hotels & Travel, Food Tours
Aloft Philadelphia Airport;3.0;175;Event Planning & Services, Hotels & Travel, Hotels, Venues & Event Spaces
Federal Donuts;4.5;11;Sandwiches, Chicken Wings, Restaurants, Donuts, Food
Baum's Dancewear;3.0;17;Arts & Crafts, Sports Wear, Costumes, Performing Arts, Adult, Shopping, Sporting Goods, Arts & Entertainment, Fashion
Chinatown Market Shoe Repair And Tailor;5.0;23;Shoe Repair, Sewing & Alterations, Local Services
Guess - Walnut Street;3.5;9;Men's Clothing, Women's Clothing, Children's Clothing, Fashion, Shopping, Accessories
Bustleton Radiology Associates;2.0;13;Radiologists, Doctors, Health & Medical
Fusion Pizza & Grill;2.5;6;Ethnic Food, Specialty Food, Restaurants, Food, Pizza
